iter	Passed	Remaining
567	5852	4451
568	5866	4444
569	5880	4436
570	5895	4429
571	5908	4421
572	5921	4412
573	5933	4403
574	5944	4393
575	5954	4383
576	5964	4372
577	5973	4361
578	5983	4351
579	5993	4340
580	6003	4329
581	6012	4318
582	6022	4307
583	6031	4296
584	6041	4285
585	6051	4274
586	6060	4263
587	6068	4252
588	6077	4240
589	6087	4230
590	6096	4218
591	6105	4207
592	6114	4196
593	6124	4185
594	6132	4174
595	6140	4162
596	6149	4151
597	6159	4140
598	6167	4128
599	6176	4117
600	6185	4106
601	6193	4094
602	6202	4083
603	6211	4072
604	6220	4061
605	6230	4050
606	6240	4040
607	6249	4029
608	6259	4018
609	6269	4008
610	6279	3997
611	6289	3987
612	6299	3976
613	6309	3966
614	6319	3956
615	6332	3947
616	6342	3937
617	6352	3926
618	6365	3917
619	6378	3909
620	6390	3900
621	6405	3892
622	6415	3882
623	6426	3872
624	6436	3862
625	6447	3852
626	6458	3842
627	6470	3832
628	6482	3823
629	6493	3813
630	6504	3803
631	6518	3795
632	6532	3787
633	6545	3778
634	6560	3771
635	6574	3763
636	6586	3753
637	6597	3743
638	6607	3732
639	6620	3724
640	6633	3715
641	6645	3705
642	6655	3695
643	6665	3684
644	6674	3673
645	6684	3663
646	6695	3653
647	6706	3643
648	6716	3632
649	6728	3622
650	6738	3612
651	6748	3601
652	6758	3591
653	6768	3581
654	6778	3570
655	6789	3560
656	6800	3550
657	6810	3539
658	6820	3529
659	6829	3518
660	6837	3506
661	6847	3496
662	6854	3484
663	6863	3473
664	6873	3462
665	6884	3452
666	6893	3441
667	6904	3431
668	6914	3420
669	6923	3409
670	6933	3399
671	6942	3388
672	6952	3377
673	6962	3367
674	6971	3356
675	6983	3346
676	6993	3336
677	7002	3325
678	7012	3315
679	7022	3304
680	7032	3294
681	7041	3283
682	7049	3272
683	7058	3261
684	7067	3249
685	7074	3238
686	7084	3227
687	7094	3217
688	7103	3206
689	7114	3196
690	7124	3185
691	7134	3175
692	7143	3164
693	7152	3153
694	7162	3143
695	7170	3132
696	7180	3121
697	7189	3110
698	7199	3100
699	7208	3089
700	7218	3078
701	7227	3068
702	7236	3057
703	7246	3046
704	7256	3036
705	7266	3025
706	7275	3015
707	7285	3004
708	7294	2993
709	7304	2983
710	7314	2973
711	7324	2962
712	7334	2952
713	7344	2942
714	7354	2931
715	7363	2920
716	7373	2910
717	7382	2899
718	7392	2889
719	7401	2878
720	7410	2867
721	7421	2857
722	7431	2847
723	7441	2836
724	7450	2826
725	7460	2815
726	7469	2805
727	7478	2794
728	7488	2783
729	7497	2773
730	7507	2762
731	7516	2752
732	7526	2741
733	7535	2730
734	7545	2720
735	7555	2710
736	7565	2699
737	7575	2689
738	7587	2679
739	7598	2669
740	7608	2659
741	7620	2649
742	7632	2640
743	7644	2630
744	7654	2620
745	7666	2610
746	7678	2600
747	7690	2590
748	7700	2580
749	7715	2571
750	7737	2565
751	7753	2556
752	7766	2547
753	7782	2539
754	7794	2529
755	7808	2520
756	7824	2511
757	7839	2502
758	7855	2494
759	7869	2485
760	7882	2475
761	7894	2465
762	7907	2456
763	7919	2446
764	7931	2436
765	7941	2426
766	7951	2415
767	7961	2404
768	7972	2394
769	7982	2384
770	7992	2374
771	8000	2362
772	8010	2352
773	8019	2341
774	8029	2331
775	8038	2320
776	8048	2309
777	8058	2299
778	8068	2288
779	8077	2278
780	8087	2267
781	8096	2257
782	8105	2246
783	8114	2235
784	8126	2225
785	8135	2215
786	8146	2204
787	8156	2194
788	8167	2184
789	8177	2173
790	8188	2163
791	8200	2153
792	8210	2143
793	8222	2133
794	8234	2123
795	8248	2113
796	8259	2103
797	8271	2093
798	8281	2083
799	8296	2074
800	8312	2065
801	8324	2055
802	8337	2045
803	8349	2035
804	8359	2025
805	8369	2014
806	8378	2003
807	8388	1993
808	8398	1982
809	8407	1972
810	8416	1961
811	8425	1950
812	8435	1940
813	8445	1929
814	8455	1919
815	8465	1908
816	8474	1898
817	8485	1887
818	8494	1877
819	8503	1866
820	8512	1855
821	8521	1845
822	8530	1834
